asn	country	institution
1	US	LVLT-1 - Level 3 Parent, LLC
2	US	UDEL-DCN - University of Delaware
3	US	MIT-GATEWAYS - Massachusetts Institute of Technology
4	US	ISI-AS - University of Southern California
5	US	SYMBOLICS - Symbolics, Inc.
6	US	BULL-HN - Bull HN Information Systems Inc.
7	GB	DSTL
8	US	RICE-AS - Rice University
9	US	CMU-ROUTER - Carnegie Mellon University
10	US	CSNET-EXT-AS - CSNET Coordination and Information Center (CSNET-CIC)
11	US	HARVARD - Harvard University
12	US	NYU-DOMAIN - New York University
13	US	DNIC-AS-00013 - Headquarters, USAISC
14	US	COLUMBIA-GW - Columbia University
15	US	NET-DYNAMICS-EXP - DYNAMICS
16	US	LBL - Lawrence Berkeley National Laboratory
17	US	PURDUE - Purdue University
18	US	UTEXAS - University of Texas at Austin
19	US	LEIDOS-AS - Leidos, Inc.
20	US	UR - University of Rochester
21	US	RAND - The RAND Corporation
22	US	DNIC-AS-00022 - Navy Network Information Center (NNIC)
23	US	AS23 - National Aeronautics and Space Administration
24	US	AS24 - National Aeronautics and Space Administration
25	US	UCB - University of California at Berkeley
26	US	CORNELL - Cornell University
27	US	UMDNET - University of Maryland
28	DE	DFVLR-SYS
29	US	YALE-AS - Yale University
30	US	SRI-AICNET - SRI International
31	US	CIT - California Institute of Technology
32	US	STANFORD - Stanford University
33	US	HP-DIGITAL-33 - Hewlett-Packard Company
34	US	UDELNET - University of Delaware
35	US	MITRE-AS-1 - The MITRE Corporation
36	US	EGP-TESTOR - SRI International
37	US	DNIC-AS-00037 - Navy Network Information Center (NNIC)
38	US	UIUC - University of Illinois
39	US	DNIC-AS-00039 - DoD Network Information Center
40	US	MIT-TEST - Massachusetts Institute of Technology
41	US	AS41 - National Aeronautics and Space Administration
42	US	WOODYNET-1 - WoodyNet
43	US	BNL-AS - Brookhaven National Laboratory
44	US	S1-DOMAIN - Lawrence Livermore National Laboratory
45	US	LLL-TIS-AS - Lawrence Livermore National Laboratory
46	US	RUTGERS - Rutgers University
47	US	USC-AS - University of Southern California
48	US	DNIC-AS-00048 - Navy Network Information Center (NNIC)
49	US	US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY - US National Institute of Standards & Technology
50	US	ORNL-MSRNET - Oak Ridge National Laboratory
51	US	DNIC-AS-00051 - Headquarters, USAISC
52	US	UCLA - University of California, Los Angeles
53	US	NORTHROP-AS - Northrop Grumman Corporation - Automation Sciences Laboratory
54	US	DNIC-AS-00054 - Headquarters, USAISC
55	US	UPENN - University of Pennsylvania
56	US	DNIC-AS-00056 - DoD Network Information Center
57	US	NL-GIGAPOP - University of Minnesota
58	CA	SSC-299-Z-58 - Shared Services Canada
59	US	WISC-MADISON-AS - University of Wisconsin Madison
60	US	AINET-AS60 - Advanced Information Technology Services, LLC
61	US	DEC-MARLBORO-AS - Air Force Systems Networking
62	US	CONE - CyrusOne LLC
63	US	LL-MI - Massachusetts Institute of Technology
64	US	MITRE-AS-2 - The MITRE Corporation
65	US	AF-RASN-65 - Air Force Systems Networking
66	US	DNIC-AS-00066 - Headquarters, USAISC
67	US	SDC-PRC-AS - Unisys Corporation
68	US	LANL-INET-AS - Los Alamos National Laboratory
69	US	UPENN2 - University of Pennsylvania
70	US	NLM-GW - National Library of Medicine
71	US	HP-INTERNET-AS - Hewlett-Packard Company
72	US	SCHLUMBERGER-AS - Schlumberger Limited
73	US	WASHINGTON-AS - University of Washington
74	CA	SSC-299-Z-74 - Shared Services Canada
75	US	ANL-AS - Argonne National Laboratory
76	US	SDC-CAM-AS - Unisys Corporation
77	US	JHUAPL-AS - Johns Hopkins University Applied Physics Laboratory
78	US	BA-346-78 - BT Americas, Inc
79	US	DSPO-HC-AS - Los Alamos National Laboratory
80	US	GE-CRD - General Electric Company
81	US	NCREN - MCNC
82	US	TWG-DEMO-AS - Attachmate Corp.
